"description1","description2","ord","wavelengthStart","wavelengthEnd","molarAbsorption","reference"
"vinyloxy","vinyloxy",1,"1060","1120","NA","Goddu1960"
"vinyloxy","vinyloxy",1,1320,1340,"NA","Goddu1960"
"vinyloxy","vinyloxy",1,1620,1640,0.3,"Goddu1960"
"vinyloxy","vinyloxy",1,2080,2120,0.2,"Goddu1960"
"terminal alkene","terminal=CH2",2,1090,1150,"NA","Goddu1960"
"terminal alkene","terminal=CH2",2,1320,1360,0.02,"Goddu1960"
"terminal alkene","terminal=CH2",2,1620,1650,0.3,"Goddu1960"
"terminal alkene","terminal=CH2",2,2100,2130,0.35,"Goddu1960"
"terminal epoxy","terminalEpoxy",3,1120,1150,"NA","Goddu1960"
"terminal epoxy","terminalEpoxy",3,1340,1360,"NA","Goddu1960"
"terminal epoxy","terminalEpoxy",3,1640,1670,0.2,"Goddu1960"
"terminal epoxy","terminalEpoxy",3,2200,2230,1.2,"Goddu1960"
"cyclopropane","tripleRing",4,1360,1380,"NA","Goddu1960"
"cyclopropane","tripleRing",4,1660,1680,"NA","Goddu1960"
"cyclopropane","tripleRing",4,2220,2250,"NA","Goddu1960"
"terminal alkyne","terminalTriple",5,1020,1050,"NA","Goddu1960"
"terminal alkyne","terminalTriple",5,1520,1550,1,"Goddu1960"
"terminal alkyne","terminalTriple",5,3000,3030,50,"Goddu1960"
"cis-alkene","cisAlkene",6,1020,1040,"NA","Goddu1960"
"cis-alkene","cisAlkene",6,2130,2160,0.15,"Goddu1960"
"oxetane","oxetane",7,1160,1190,"NA","Goddu1960"
"oxetane","oxetane",7,1370,1390,"NA","Goddu1960"
"oxetane","oxetane",7,1660,1680,"NA","Goddu1960"
"oxetane","oxetane",7,2140,2160,"NA","Goddu1960"
"oxetane","oxetane",7,2240,2260,"NA","Goddu1960"
"oxetane","oxetane",7,2520,2580,"NA","Goddu1960"
"methyl","CH3",8,1120,1200,0.02,"Goddu1960"
"methyl","CH3",8,1370,1430,"NA","Goddu1960"
"methyl","CH3",8,1710,1760,0.1,"Goddu1960"
"methyl","CH3",8,2260,2360,0.3,"Goddu1960"
"alkyl---secondary","CH2",9,1100,1180,0.02,"Goddu1960"
"alkyl---secondary","CH2",9,1370,1420,"NA","Goddu1960"
"alkyl---secondary","CH2",9,1720,1780,0.1,"Goddu1960"
"alkyl---secondary","CH2",9,2290,2460,0.25,"Goddu1960"
"alkyl---tertiary","CH",10,1180,1220,"NA","Goddu1960"
"alkyl---tertiary","CH",10,1420,1450,"NA","Goddu1960"
"alkyl---tertiary","CH",10,1760,1800,"NA","Goddu1960"
"CH---aromatic","aromaticCH",11,1320,1370,0.1,"Goddu1960"
"CH---aromatic","aromaticCH",11,1640,1690,0.1,"Goddu1960"
"CH---aromatic","aromaticCH",11,2140,2180,"NA","Goddu1960"
"CH---aldehyde","aldehydeCH",12,2180,2230,0.5,"Goddu1960"
"CH---formate","formateCH",13,2130,2170,1,"Goddu1960"
"aromatic amine---primary","aromaticAmineNH2",14,1020,1060,0.04,"Goddu1960"
"aromatic amine---primary","aromaticAmineNH2",14,1440,1480,0.2,"Goddu1960"
"aromatic amine---primary","aromaticAmineNH2",14,1490,1510,1.4,"Goddu1960"
"aromatic amine---primary","aromaticAmineNH2",14,1960,1990,1.5,"Goddu1960"
"aromatic amine---primary","aromaticAmineNH2",14,2860,2890,10,"Goddu1960"
"aromatic amine---primary","aromaticAmineNH2",14,2920,2960,30,"Goddu1960"
"aliphatic amine---primary","aliphaticAmineNH2",15,1030,1070,"NA","Goddu1960"
"aliphatic amine---primary","aliphaticAmineNH2",15,1510,1550,0.5,"Goddu1960"
"aliphatic amine---primary","aliphaticAmineNH2",15,1980,2040,0.7,"Goddu1960"
"aliphatic amine---primary","aliphaticAmineNH2",15,2920,2960,3,"Goddu1960"
"aliphatic amine---primary","aliphaticAmineNH2",15,3000,3040,2,"Goddu1960"
"aromatic amine---secondary","aromaticAmineNH",16,1020,1040,"NA","Goddu1960"
"aromatic amine---secondary","aromaticAmineNH",16,1480,1520,0.5,"Goddu1960"
"aromatic amine---secondary","aromaticAmineNH",16,2880,2920,20,"Goddu1960"
"aliphatic amine---secondary","aliphaticAmineNH",17,1040,1080,"NA","Goddu1960"
"aliphatic amine---secondary","aliphaticAmineNH",17,1520,1560,0.5,"Goddu1960"
"aliphatic amine---secondary","aliphaticAmineNH",17,2960,3010,1,"Goddu1960"
"amide---primary","amideNH2",18,1460,1500,0.7,"Goddu1960"
"amide---primary","amideNH2",18,1940,1970,3,"Goddu1960"
"amide---primary","amideNH2",18,1990,2010,0.5,"Goddu1960"
"amide---primary","amideNH2",18,2020,2040,0.5,"Goddu1960"
"amide---primary","amideNH2",18,2800,2840,100,"Goddu1960"
"amide---primary","amideNH2",18,2900,2940,100,"Goddu1960"
"amide---secondary","amideNH",19,1470,1490,1.3,"Goddu1960"
"amide---secondary","amideNH",19,1980,2020,0.5,"Goddu1960"
"amide---secondary","amideNH",19,2860,2900,100,"Goddu1960"
"anilide","anilide",20,1480,1490,0.7,"Goddu1960"
